,IVA
600,0.0
601,0.0
602,0.0
603,40.96
604,0.0
605,0.0
606,0.0
608,0.0
609,0.0
610,48.0
611,13.48
612,0.0
613,50.1
614,67.47
617,489.6
618,99.2
619,281.28
620,308.64
622,403.46
623,1176.0
624,13.66
625,45.57
626,0.0
627,0.0
628,512.0
629,22.34
630,0.0
631,299.23
632,356.32
633,37.93
634,185.74
635,123.2
636,16.77
637,1055.72
639,13.79
641,77.28
642,0.0
644,272.37
645,114.39
646,38.48
648,103.2
649,0.0
651,0.0
652,13.1
653,646.2
654,111.42
655,429.24
656,33.12
657,139.61
658,78.4
659,33.6
660,0.0
661,0.0
662,0.0
664,0.0
665,289.66
666,0.0
667,0.0
668,1133.6
669,116.91
670,0.0
671,80.0
672,0.0
673,458.4
674,327.04
675,78.81
676,93.34
677,0.0
678,292.39
679,672.0
680,0.0
681,67.2
682,84.86
683,174.4
684,631.12
685,28.8
686,38.76
687,200.16
688,4.64
689,411.84
691,0.0
692,49.66
693,224.0
694,41.84
695,1117.6
696,434.48
697,21.38
698,79.38
699,0.0
700,855.16
701,824.35
702,1005.78
703,19.86
704,48.0
706,20.28
707,0.0
708,117.23
709,16.4
710,200.49
711,1120.0
712,97.12
713,0.0
715,137.6
716,273.25
717,19.28
718,170.16
719,777.6
720,9.24
721,230.27
722,51.2
723,0.0
724,0.0
725,79.67
726,0.0
727,42.77
728,0.0
729,352.32
730,124.0
731,110.2
732,110.2
733,110.2
734,298.41
735,413.6
736,0.0
737,0.0
738,0.0
739,405.76
740,488.32
741,100.7
742,245.28
743,0.0
744,62.4
745,11.19
746,141.67
747,182.26
748,0.0
749,167.4
750,32.63
752,0.0
753,533.02
754,0.0
755,249.6
756,640.0
757,283.99
758,17.3
759,64.14
760,120.33
761,194.4
762,391.68
763,845.76
764,0.0
765,24.56
766,51.82
767,676.48
768,436.1
769,1090.4
770,42.98
771,78.26
772,588.96
773,376.32
774,0.0
775,0.0
776,0.0
777,0.0
778,320.0
779,1055.71
780,0.0
781,44.24
783,0.0
784,0.0
785,0.0
786,28.37
788,117.92
789,0.0
790,58.37
791,135.63
792,435.28
793,696.96
794,359.52
795,208.64
796,156.0
797,784.0
798,817.74
800,0.0
801,26.96
802,5.92
803,127.15
804,94.16
805,0.0
806,0.0
807,0.0
808,0.0
810,15.22
811,396.8
812,625.7
813,406.0
815,0.0
816,0.0
817,14.36
818,89.6
819,389.86
820,42.67
821,55.03
822,48.0
823,0.0
824,0.0
825,0.0
826,0.0
827,144.0
828,0.0
829,0.0
830,488.32
831,224.0
834,35.36
835,407.04
836,288.0
837,54.56
838,350.44
839,0.0
840,234.72
841,373.28
843,56.0
844,208.64
845,104.0
846,160.0
847,0.0
848,46.94
849,3.03
850,345.6
851,1055.72
853,0.0
854,1115.46
855,248.26
856,492.12
858,38.9
859,15.22
860,1084.8
861,842.43
862,183.04
863,25.92
864,207.26
868,384.0
869,0.0
870,55.03
871,0.0
872,0.0
873,0.0
874,0.0
877,677.28
878,717.12
881,0.0
882,348.06
883,191.43
884,65.06
885,2.56
886,2.56
888,0.0
889,210.97
890,280.0
891,40.0
892,85.6
893,211.52
894,192.0
895,172.32
896,0.0
897,288.0
898,35.04
899,21.72
900,94.4
901,278.72
902,0.0
903,116.32
904,0.0
905,28.99
906,121.66
907,0.0
910,0.0
911,76.16
912,9.77
913,660.8
914,22.34
915,436.48
916,126.18
917,153.51
918,80.61
919,285.06
920,315.73
921,0.0
922,1695.81
923,272.13
924,1113.3
928,327.38
931,263.85
932,0.0
933,0.0
934,2.56
935,32.97
936,153.6
937,0.0
938,0.0
939,0.0
940,2137.53
941,48.59
942,130.0
944,0.0
945,78.76
949,26.68
950,646.2
951,0.0
952,366.22
953,131.12
954,64.8
956,684.48
957,800.0
958,800.0
959,0.0
961,38.38
962,312.0
963,0.0
964,0.0
965,8.94
967,0.0
968,20.8
969,239.31
970,1047.1
971,1055.72
972,177.6
975,42.34
976,55.12
977,672.0
978,359.52
982,16.03
983,0.0
984,68.15
985,78.4
986,31.2
987,0.0
988,720.0
989,0.0
990,167.49
991,2.53
992,104.0
993,0.0
994,118.72
995,571.2
996,0.49
997,0.0
998,0.0
999,95.36
1000,124.0
1001,110.2
1002,110.2
1003,110.2
1004,855.16
1005,824.35
1006,48.0
1007,0.0
1008,800.0
1009,0.0
1010,32.63
1011,0.0
1012,0.0
1013,0.0
1014,487.68
1015,182.26
1016,0.0
1017,134.48
1018,0.0
1019,0.0
1020,640.0
1021,68.7
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,27.62
1027,55.03
1028,47.45
1029,0.0
1030,0.0
1031,0.0
1032,32.0
1033,248.0
1034,370.4
1035,0.0
1036,202.43
1037,1055.72
1038,700.1
1042,0.4
1043,0.0
1044,320.0
1045,157.78
1046,700.8
1048,307.14
1050,230.52
1051,0.0
1052,0.0
1053,423.6
1054,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,229.92
1062,379.84
1063,0.0
1064,0.0
1065,0.0
1066,214.07
1067,76.28
1068,513.06
1069,0.0
1070,0.0
1071,440.0
1072,1071.84
1073,9.29
1074,135.04
1075,135.36
1076,0.0
1077,16.03
1078,799.99
1079,377.67
1080,52.8
1081,0.0
1082,0.0
1083,17.14
1084,28.8
1085,0.0
1086,57.04
1087,726.34
1088,1055.72
1089,25.45
1092,0.0
1093,480.0
1094,227.32
1095,130.4
1096,130.4
1097,55.03
1099,455.42
1100,0.0
1101,0.0
1103,92.11
1104,1066.46
1105,988.51
1106,160.0
1107,0.0
1108,315.73
1109,0.0
1110,0.0
1111,0.0
1112,0.0
1113,285.06
1114,86.24
1115,1.58
1116,9.29
1117,0.0
1118,1005.75
1120,39.99
1121,7.63
1123,127.1
1124,0.0
1126,0.0
1127,678.4
1128,324.14
1130,230.21
1131,646.2
1132,38.48
1133,0.0
1134,689.66
1135,660.8
1136,0.0
1137,151.49
1138,0.0
1139,32.0
1140,15.96
1141,3.03
1142,0.0
1143,0.0
1144,0.0
1145,78.4
1146,45.6
1147,26.08
1148,0.0
1149,0.0
1150,855.16
1151,824.35
1153,5.48
1154,0.0
1155,41280.0
1156,0.0
1157,0.0
1158,0.0
1159,124.37
1160,146.57
1161,124.37
1162,124.37
1163,689.66
1164,326.88
1165,413.6
1166,638.4
1167,48.0
1171,21.66
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,27.03
1178,379.36
1179,0.0
1182,182.26
1183,11.06
1184,0.0
1185,0.0
1186,160.0
1187,15.69
1188,2.57
1190,0.0
1191,38.57
1192,489.74
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,54.58
1200,0.0
1201,0.0
1202,-285.53
1203,-162.56
1204,11.86
1205,101.2
1206,54.72
1207,68.28
1208,37.86
1209,385.76
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1214,745.71
1215,-161.46
1216,162.56
1217,771.99
1218,176.0
1219,144.0
1220,640.0
1221,34.92
1223,28.8
1224,433.17
1226,231.82
1227,39.15
1228,62.09
1230,0.0
1231,376.72
1232,0.0
1233,0.0
1237,10.91
1238,96.0
1240,0.0
1241,0.0
1242,0.0
1244,23.96
1245,496.0
1246,256.0
1247,0.0
1248,324.01
1249,415.48
1250,32.16
1251,131.2
1252,142.68
1253,560.0
1254,164.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,1.1
1261,0.0
1262,0.0
1263,1030.2
1264,275.72
1266,0.0
1267,55.92
1268,1.84
1269,538.28
1271,0.0
1272,305.94
1273,44.69
1274,3.03
1275,42.12
1277,176.0
1278,0.0
1279,12.98
1280,62.09
1281,149.76
1282,0.0
1283,299.23
1284,356.32
1285,0.0
1286,7.16
1287,57.79
1288,18.24
1289,613.63
1290,144.08
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,473.76
1296,124.96
1297,28.28
1298,48.0
1299,218.33
1300,0.0
