,IVA
2380,54.89
2383,434.4
2384,480.0
2385,520.2
2386,0.0
2387,4.61
2389,0.0
2390,3.95
2391,22.4
2392,25.6
2393,7.18
2394,3.37
2395,652.8
2396,283.2
2397,1078.18
2398,13.1
2399,576.6
2400,810.79
2401,101.61
2403,80.0
2404,508.8
2405,170.88
2406,99.45
2407,0.0
2408,500.48
2409,0.0
2410,0.0
2411,0.0
2412,0.0
2413,360.0
2414,585.6
2415,37.22
2416,30.99
2417,55.03
2418,56.0
2419,422.4
2420,29.95
2421,0.0
2422,217.72
2423,63.34
2424,520.0
2425,1120.54
2426,21.53
2427,544.0
2428,0.0
2431,228.48
2432,284.1
2433,218.76
2435,256.96
2436,151.17
2437,0.0
2438,0.0
2439,0.0
2441,377.76
2442,1065.6
2443,0.0
2444,155.2
2445,4.46
2446,8.63
2447,79.36
2448,285.45
2449,0.0
2450,0.0
2451,0.0
2452,0.0
2453,230.4
2454,72.38
2456,691.78
2457,0.0
2458,0.0
2459,11.5
2460,89.6
2461,67.2
2463,0.0
2464,564.62
2465,42.34
2466,258.84
2467,72.48
2469,527.92
2470,409.73
2471,-658.2
2472,336.0
2474,862.4
2475,30.24
2476,653.76
2477,213.79
2478,469.92
2479,17.02
2480,312.8
2481,0.0
2482,243.52
2484,0.14
2486,27.77
2487,83.83
2488,25.92
2489,0.0
2490,0.0
2491,0.0
2494,23.17
2495,888.22
2496,888.32
2497,974.7
2498,16.63
2500,360.0
2501,240.0
2502,41.24
2503,38.93
2504,482.07
2505,43.22
2507,952.01
2508,78.4
2509,806.22
2510,0.0
2511,0.0
2512,240.0
2513,19.51
2514,40.0
2515,31.32
2516,0.0
2517,0.0
2518,348.48
2520,0.0
2521,99.23
2522,0.0
2523,0.0
2524,0.0
2525,0.0
2526,0.0
2527,465.44
2528,0.0
2529,0.0
2530,0.0
2531,141.58
2532,800.0
2533,24.32
2534,147.2
2535,75.73
2536,348.84
2537,0.0
2538,40.0
2539,55.03
2540,462.4
2541,60.8
2543,6.07
2544,51.2
2545,12.82
2546,188.23
2547,8.95
2548,662.28
2549,29.44
2550,193.19
2551,134.66
2552,1083.21
2553,231.97
2555,384.0
2556,22.76
2557,676.8
2558,10.21
2559,267.75
2560,94.82
2561,-469.92
2562,469.92
2563,51.2
2565,18.39
2566,111.68
2567,41.92
2568,949.56
2569,99.52
2570,0.0
2571,0.0
2572,10.19
2573,1065.6
2574,0.0
2575,40.0
2576,744.0
2577,81.6
2578,50.9
2579,8.6
2580,384.0
2581,80.0
2582,190.74
2585,0.0
2586,0.0
2587,96.0
2588,0.0
2589,186.56
2591,36.04
2592,0.0
2593,0.0
2595,16.77
2596,12.53
2597,44.93
2598,121.02
2599,0.0
2600,294.88
2602,192.0
2603,0.0
2604,549.69
2605,59.02
2606,74.79
2607,448.0
2608,53.34
2609,0.0
2610,311.52
2612,320.0
2613,6.77
2614,57.6
2615,88.8
2616,720.0
2617,5.04
2618,25.67
2619,40.19
2620,0.0
2621,0.0
2622,0.0
2623,0.0
2624,0.0
2626,14.32
2629,384.0
2630,0.0
2633,464.82
2634,18.41
2636,615.53
2637,0.0
2638,15.48
2639,0.0
2640,56.56
2642,11.84
2644,690.15
2646,520.0
2647,851.72
2648,0.0
2650,1040.0
2651,63.35
2652,0.0
2653,0.0
2654,124.0
2655,83.04
2656,0.0
2657,33.1
2658,158.4
2659,0.0
2660,0.0
2661,0.0
2662,94.92
2663,33.1
2664,0.0
2665,0.0
2666,28.97
2667,36.83
2668,0.0
2669,0.0
2670,84.0
2671,312.0
2672,32.68
2673,46.34
2674,156.55
2676,59.52
2680,0.0
2681,0.0
2682,88.0
2683,24.48
2684,124.8
2685,269.97
2687,-165.52
2688,57.66
2689,14.69
2690,130.4
2691,388.39
2693,244.8
2694,55.03
2696,379.04
2698,52.48
2699,0.0
2700,0.0
2701,1065.6
2702,1122.19
2703,49.25
2704,11.48
2706,80.0
2707,544.83
2708,0.0
2709,16.42
2710,0.0
2711,633.6
2712,0.0
2713,0.0
2714,190.8
2715,0.0
2716,0.0
2718,0.0
2720,28.42
2721,90.24
2723,229.89
2725,694.69
2726,96.36
2727,312.8
2728,407.54
2729,9.04
2730,0.0
2731,12.69
2733,0.0
2734,188.28
2735,52.41
2736,512.0
2737,28.8
2738,0.0
2739,7.87
2740,164.14
2741,0.0
2742,0.0
2743,196.34
2744,219.68
2745,46.23
2746,0.0
2747,148.56
2748,180.8
2749,17.46
2750,640.0
2751,640.0
2752,304.0
2753,7.04
2754,0.0
2755,0.0
2756,0.0
2757,113.6
2758,0.0
2759,0.0
2760,0.0
2763,0.0
2764,177.93
2766,0.0
2768,440.89
2769,0.0
2770,13.45
2771,0.0
2772,277.31
2773,444.8
2774,-48.28
2775,25.26
2776,32.9
2778,0.0
2779,0.0
2780,0.0
2781,0.0
2782,0.0
2784,0.0
2785,0.0
2786,0.0
2787,28.68
2789,28.73
2790,832.0
2791,38.7
2792,23.15
2793,0.0
2794,0.0
2795,26.48
2797,0.0
2798,0.0
2799,0.0
2800,0.0
2802,78.4
2803,50.4
2804,888.22
2805,888.32
2806,0.0
2807,0.0
2808,0.0
2809,0.0
2810,13.72
2812,41.49
2813,29.09
2814,0.0
2815,75.73
2816,349.2
2817,107.84
2818,688.96
2819,57.6
2820,112.32
2821,0.0
2822,0.0
2823,366.08
2824,0.0
2825,0.0
2826,0.0
2827,9.1
2828,16.51
2829,64.83
2830,25.6
2831,0.0
2832,19.32
2833,15.17
2834,0.0
2836,71.15
2837,22.8
2838,0.0
2839,0.0
2840,0.0
2841,55.03
2842,0.0
2844,320.0
2845,800.0
2846,0.0
2847,912.0
2848,91.98
2849,241.89
2850,16.63
2851,352.0
2852,110.4
2853,63.17
2856,246.07
2857,253.79
2858,54.08
2859,61.52
2860,23.28
2861,0.0
2862,44.66
2863,116.23
2864,18.58
2865,193.19
2866,193.66
2867,0.0
2868,0.0
2869,0.0
2870,0.0
2871,409.6
2872,0.0
2873,0.0
2874,134.43
2875,711.94
2876,1065.6
2877,94.02
2878,148.48
2879,45.82
2880,0.0
2881,13.79
2882,3.32
2883,1079.54
2884,0.0
2885,50.75
2886,0.0
2888,12.92
2889,0.0
2890,0.0
2891,0.0
2892,895.2
2894,9.19
2895,0.0
2896,425.87
2897,0.0
2898,30.9
2899,117.25
2900,145.66
2901,256.0
2902,279.58
2905,77.11
2906,28.68
2907,256.63
2908,22.12
2909,42.12
2910,37.26
2912,242.0
2913,19.2
2914,54.4
2915,68.8
2916,256.0
2917,19.88
2918,0.0
2919,170.72
2920,0.0
2923,960.0
2924,251.75
2925,26.91
2926,5.73
2927,383.6
2928,328.64
2930,384.32
2931,0.0
2932,0.0
2933,0.0
2934,0.0
2935,0.0
2936,0.0
2937,0.0
2938,0.0
2939,229.03
2940,0.0
2941,256.55
2944,0.0
2945,0.0
2946,0.0
2947,0.0
2948,0.0
2949,0.0
2950,320.0
2951,272.0
2952,0.0
2954,0.0
2955,161.12
2956,-80.0
2957,32.19
2959,0.0
2960,26.86
2962,8.0
2963,0.0
2964,26.96
2965,78.28
2966,62.33
2967,384.0
2968,115.2
2969,18.39
2970,25.94
2972,836.92
2973,0.0
2974,371.75
2975,0.0
2976,37.36
2979,0.0
2980,336.0
2981,-28.68
2982,3.21
2983,271.32
2984,51.81
2986,0.0
2987,0.0
2988,0.0
2989,0.0
2993,1056.0
2994,0.0
2995,0.0
2996,65.76
2997,47.93
2998,426.85
2999,18.59
3000,432.4
3002,661.41
3003,0.0
3004,0.0
3005,979.2
3006,0.0
3007,0.0
3008,0.0
3009,366.08
3011,0.0
3012,55.17
3013,31.36
3014,7.42
3015,55.03
3016,0.0
3017,42.48
3018,269.57
3019,0.0
3020,947.28
3021,1065.6
3022,26.87
3023,0.0
3024,57.6
3025,9.6
3026,960.0
3027,9.08
3028,172.8
3029,23.36
3030,25.26
3032,0.0
3033,0.0
3034,78.43
3035,0.0
3036,0.0
3037,0.0
3038,40.64
3039,5.59
3040,321.62
3041,0.0
3042,6.45
3043,31.2
3044,43.78
3045,140.8
3046,43.2
3047,229.89
3048,18.39
3049,312.8
3050,1142.22
3052,-24.51
3054,45.52
3055,168.0
3056,17.46
3057,538.0
3058,68.44
3059,490.24
3060,53.73
3061,290.17
3062,37.67
3063,24.14
3065,288.0
3067,214.4
3069,112.26
3070,0.0
3071,492.8
3072,304.56
3073,0.0
3074,21.26
3075,33.1
3076,16.0
3077,179.2
3078,0.0
3079,0.0
3080,0.0
3081,446.76
3082,844.8
3083,71.45
3084,174.56
3085,0.0
3087,224.0
3088,329.6
3089,0.0
3090,0.0
3091,0.0
3093,68.97
3094,41.06
3095,27.59
3096,0.0
3097,0.0
3099,925.93
3100,0.0
3101,0.0
3102,888.22
3103,888.32
3104,3.78
3105,0.0
3106,0.0
3107,0.0
3108,41.38
3109,6.7
3110,265.76
3111,448.0
3112,0.0
3113,78.4
3114,28.8
3115,129.28
3116,549.44
3117,0.0
3119,55.03
3120,0.0
3121,0.0
3122,0.0
3123,0.0
3124,115.17
3125,342.07
3126,88.8
3127,272.0
3128,204.0
3130,0.0
3131,33.22
3132,227.8
3133,1136.58
3134,0.0
3135,0.0
3136,80.0
3138,593.5
3139,0.0
3140,20.91
3142,344.13
3143,339.2
3144,-34.48
3145,48.07
3146,117.24
3148,89.66
3149,739.84
3150,57.6
3151,0.0
3152,191.8
3153,7.7
3154,348.36
3155,75.73
3157,0.0
3158,0.0
3159,288.87
3160,268.32
3161,0.0
3162,1065.6
3163,800.0
3164,112.0
3165,27.59
3166,131.67
3167,14.07
3168,60.55
3169,178.63
3170,721.8
3171,0.0
3172,54.08
3173,0.0
3174,0.0
3175,0.0
3176,56.63
3178,0.0
3179,0.0
3181,0.0
3182,0.0
3183,0.0
3185,40.32
3186,19.46
3187,23.31
3188,440.0
3189,197.12
3190,320.16
3191,60.48
3192,0.0
3193,0.0
3194,6.85
3196,0.0
3197,0.0
3198,314.28
3199,492.0
3200,193.19
3203,112.84
3204,11.83
3205,22.08
3206,0.0
3207,744.0
3208,19.2
3209,560.0
3210,674.7
3211,105.86
3214,0.0
3215,600.0
3216,174.89
3217,28.8
3218,880.0
3219,336.0
3220,1.68
3221,0.0
3222,126.23
3223,0.0
3224,0.0
3225,0.0
3226,0.0
3227,0.0
3228,244.0
3230,109.83
3231,0.0
3232,276.8
3233,320.0
3234,0.0
3235,0.0
3236,0.0
3237,8.01
3238,46.4
3239,39.22
3240,256.96
3241,589.89
3242,0.0
3243,88.88
3244,0.0
3245,28.97
3246,605.98
3247,345.76
3248,36.83
3249,4.97
3251,56.73
3252,544.0
3253,53.76
3254,1056.0
3255,18.39
3256,19.2
3259,1184.21
3260,29.87
3261,0.0
3262,230.27
3263,445.44
3264,144.0
3265,43.77
3266,236.8
3267,5.85
3268,141.52
3271,176.0
3272,0.0
3273,728.64
3275,312.0
3277,0.0
3278,144.0
3279,0.0
3280,26.88
3281,302.22
3282,0.0
3283,0.0
3284,38.39
3285,0.0
3286,0.0
3288,0.0
3289,-33.45
3290,0.0
3291,0.0
3292,29.72
3293,13.99
3294,1073.22
3296,0.0
3297,1065.6
3298,314.5
3300,7.05
3301,391.21
3302,253.44
3303,55.03
3304,307.12
3305,3.86
3308,136.0
3310,1.83
3312,63.63
3313,172.93
3314,3.48
3315,0.0
3316,-2.9
3317,22.07
3318,0.0
3319,229.89
3320,0.0
3321,0.0
3322,0.0
3323,0.0
3324,0.0
3325,364.0
3326,0.0
3327,0.0
3328,312.8
3331,446.76
3333,112.57
3334,0.0
3336,127.95
3337,20.21
3338,365.57
3339,26.21
3340,0.0
